industrial_risk,management_risk,financial_flexibility,credibility,competitiveness,operating_risk,Target_Class,Class
0.5,1.0,0.0,0.0,0.0,0.5,0,bankruptcy
0.0,1.0,0.0,0.0,0.0,1.0,0,bankruptcy
1.0,0.0,0.0,0.0,0.0,1.0,0,bankruptcy
0.5,0.0,0.0,0.5,0.0,1.0,0,bankruptcy
1.0,1.0,0.0,0.0,0.0,1.0,0,bankruptcy
1.0,1.0,0.0,0.5,0.0,0.5,0,bankruptcy
1.0,1.0,0.0,0.0,0.0,0.0,0,bankruptcy
1.0,1.0,0.0,0.0,0.0,0.5,0,bankruptcy
1.0,1.0,0.0,0.5,0.0,0.0,0,bankruptcy
1.0,1.0,0.0,0.5,0.0,1.0,0,bankruptcy
1.0,1.0,0.5,0.0,0.0,1.0,0,bankruptcy
0.5,1.0,0.0,0.0,0.0,1.0,0,bankruptcy
0.0,1.0,0.0,0.0,0.5,0.5,0,bankruptcy
0.5,0.5,0.0,0.0,0.0,0.0,0,bankruptcy
0.0,0.5,0.0,0.0,0.0,0.5,0,bankruptcy
0.0,1.0,0.0,0.0,0.0,0.0,0,bankruptcy
0.0,0.5,0.0,0.0,0.0,1.0,0,bankruptcy
1.0,0.5,0.0,0.0,0.0,0.0,0,bankruptcy
0.5,0.5,0.0,0.0,0.0,1.0,0,bankruptcy
0.0,0.0,0.0,0.0,0.0,1.0,0,bankruptcy
0.5,0.0,0.0,0.0,0.0,1.0,0,bankruptcy
1.0,0.5,0.0,0.0,0.0,1.0,0,bankruptcy
1.0,1.0,0.0,1.0,0.0,0.0,0,bankruptcy
1.0,1.0,0.0,1.0,0.0,1.0,0,bankruptcy
1.0,0.5,1.0,0.5,0.0,0.0,0,bankruptcy
0.0,0.0,0.5,0.5,0.5,0.0,1,non-bankruptcy
1.0,1.0,0.5,0.5,0.5,1.0,1,non-bankruptcy
0.5,0.5,0.5,0.5,0.5,0.5,1,non-bankruptcy
0.0,0.0,1.0,1.0,1.0,0.0,1,non-bankruptcy
1.0,1.0,1.0,1.0,1.0,1.0,1,non-bankruptcy
0.5,0.5,1.0,1.0,1.0,0.5,1,non-bankruptcy
0.0,0.0,0.5,1.0,1.0,0.0,1,non-bankruptcy
0.0,0.0,1.0,0.5,0.5,0.0,1,non-bankruptcy
0.0,0.0,0.5,1.0,0.5,0.0,1,non-bankruptcy
0.0,0.0,0.5,0.5,1.0,0.0,1,non-bankruptcy
0.0,0.0,1.0,1.0,0.5,0.0,1,non-bankruptcy
0.0,0.0,1.0,0.5,1.0,0.0,1,non-bankruptcy
1.0,1.0,0.5,1.0,1.0,1.0,1,non-bankruptcy
1.0,1.0,1.0,0.5,0.5,1.0,1,non-bankruptcy
1.0,1.0,0.5,1.0,0.5,1.0,1,non-bankruptcy
1.0,1.0,0.5,0.5,1.0,1.0,1,non-bankruptcy
1.0,1.0,1.0,1.0,0.5,1.0,1,non-bankruptcy
